# Galaxy RA_HMS DEC_DMS PA_DEG DIAMETER_ARCSEC VSYS_KMS VROT_KMS INCL_DEG POS_ELL_REFS
NGC0672 01h47m54.52s 27d25m58.0s  64.20 1800.0  425 130.7 70 20032MASX.C.......:,marasco_etal_2019
NGC0891 02h22m33.00s 42d20m57.2s 203.00 1500.0  529 212.2 84 oosterloo_etal_2007
NGC0925 02h27m15.49s 33d34m49.7s 281.20 1620.0  554 102.4 54 pisano_etal_1998
NGC0949 02h30m48.65s 37d08m12.4s 160.80  720.0  610  90.9 52 20032MASX.C.......:,marasco_etal_2019
NGC1003 02h39m16.89s 40d52m20.3s 276.30 1560.0  626  95.5 67 20032MASX.C.......:,marasco_etal_2019
NGC2403 07h36m50.66s 65d36m02.2s 304.50 2700.0  132 121.9 62 fraternali_etal_2002
NGC2541 08h14m40.83s 49d03m33.6s 171.80 1320.0  553  92.1 67 jozsa_2007,marasco_etal_2019
NGC3198 10h19m55.00s 45d32m58.9s 215.00 1800.0  660 148.2 71 deblok_etal_2008
NGC4062 12h04m03.83s 31d53m44.9s 100.10  600.0  769 140.5 68 2006SDSS5.C...0000:,marasco_etal_2019
NGC4244 12h17m29.66s 37d48m25.6s 227.00 1800.0  247  89.0 90 20032MASX.C.......:,zschaechner_etal_2011
NGC4258 12h18m57.50s 47d18m14.3s 331.90 1920.0  449 208.0 71 2005ApJ...629..719H,marasco_etal_2019
NGC4274 12h19m50.59s 29d36m52.1s 279.80  600.0  922 239.9 72 1990Obs...110...93A,marasco_etal_2019
NGC4414 12h26m27.07s 31d13m23.3s 159.70 1080.0  720 224.7 50 deblok_etal_2014,marasco_etal_2019
NGC4448 12h28m15.43s 28d37m13.1s  94.40  300.0  693 221.6 71 20032MASX.C.......:,marasco_etal_2019
NGC4559 12h35m58.00s 27d57m32.0s 323.00 1320.0  816 113.4 69 vargas_etal_2017
NGC4565 12h36m20.63s 25d59m16.8s 315.50 1440.0 1228 244.9 90 zschaechner_etal_2012
NGC4631 12h42m07.35s 32d32m30.1s  85.90 1560.0  613 138.9 85 rand_1994
NGC5023 13h12m11.83s 44d02m16.9s  28.00  900.0  400  80.3 90 kamphuis_etal_2013
NGC5055 13h15m49.20s 42d01m45.3s 101.80 2880.0  497 215.5 55 deblok_etal_2008
NGC5229 13h34m03.00s 47d54m47.3s 167.00  540.0  365  57.3 90 garcia-ruiz_etal_2002
NGC5585 14h19m48.20s 56d43m44.6s  48.20 1080.0  303  79.1 51 20032MASX.C.......:,marasco_etal_2019
UGC2082 02h36m16.60s 25d25m20.0s 312.00  900.0  710  86.6 89 kamphuis_etal_2013
UGC4278 08h13m59.00s 45d44m38.0s 353.00  480.0  565  79.2 90 garcia-ruiz_etal_2002
UGC7774 12h36m23.00s 40d00m18.4s 282.00  480.0  526  79.4 90 garcia-ruiz_etal_2002
