NGC0672 KPNO-January2012/NGC0672/ngc672.rv1rot.fits -0.119,9.66
NGC0891 KPNO-January2012/NGC0891/ngc891.rv1rot.fits -0.172,19.7
NGC0925 KPNO-January2012/NGC0925/ngc925.rv1rot.fits -0.126,10.2
NGC0949 HALOSTARS/ngc0949_int_r.fits -0.00709,2.47
UGC2082 HALOSTARS/ugc2082_int_r.fits -0.00393,1.52
NGC1003 KPNO-January2012/NGC1003/ngc1003.rv1rot.fits -0.115,5.39
NGC2403 KPNO-January2012/NGC2403/ngc2403.rv1rot.fits -0.460,6.34
UGC4278 KPNO-January2012/UGC4278/ugc4278.rv1rot.fits -0.127,9.66
NGC2541 KPNO-January2012/NGC2541/ngc2541.rv1rot.fits -0.109,4.69
NGC3198 KPNO-January2012/NGC3198/ngc3198.rv1rot.fits -0.151,5.25
NGC4062 KPNO-March2012/NGC4062/ngc4062rsmall.fits -0.0969,8.12
NGC4244 HALOSTARS/ngc4244_int_r.fits -0.00290,0.802
NGC4258 KPNO-January2012/NGC4258/ngc4258.rv1rot.fits -0.479,6.73
NGC4274 KPNO-March2012/NGC4274/ngc4274rsmall.fits -0.0883,7.59
NGC4414 KPNO-March2012/NGC4414/ngc4414rsmall.fits -0.107,4.23
NGC4448 DSS2/NGC4448-dss2red.fits 5093,16994
NGC4559 KPNO-March2012/NGC4559/ngc4559rsmall.fits -0.121,7.47
NGC4565 KPNO-March2012/NGC4565/ngc4565rsmall.fits -0.214,12.4
UGC7774 DSS2/UGC7774-dss2red.fits 4535,13882
NGC4631 KPNO-March2012/NGC4631/ngc4631rsmall.fits -0.201,2.65
NGC5023 KPNO-March2012/NGC5023/ngc5023rsmall.fits -0.0163,5.04
NGC5055 KPNO-March2012/NGC5055/ngc5055rsmall.fits -0.402,7.11
NGC5229 KPNO-March2012/NGC5229/ngc5229rsmall.fits -0.101,4.44
NGC5585 KPNO-March2012/NGC5585/ngc5585rsmall.fits -0.0521,7.12
