# Galaxy W50 W20 CubeNoise_LR_mJy
NGC0672 207.586972 236.901776 0.17
NGC0891 450.590406 473.437384 0.17
NGC0925 203.283322 222.370513 0.16
NGC0949 181.397204 205.958031 0.23
UGC2082 193.120759 208.790596 0.19
NGC1003 213.480402 230.077137 0.24
NGC2403 237.318418 252.866408 0.24
UGC4278 169.969631 193.037543 0.15
NGC2541 192.953956 209.754665 0.24
NGC3198 302.048528 318.021041 0.15
NGC4062 297.940263 310.787667 0.20
NGC4244 199.770872 216.828490 0.24
NGC4258 413.721687 434.196448 0.27
NGC4274 446.563562 461.591693 0.19
NGC4414 338.246654 397.044515 0.23
NGC4448 378.999007 402.843508 0.09
NGC4559 239.219542 252.907116 0.21
NGC4565 496.865139 517.416650 0.22
UGC7774 190.889167 205.596384 0.28
NGC4631 296.685722 318.882996 0.25
NGC5023 178.347934 191.895824 0.18
NGC5055 364.446071 394.238555 0.17
NGC5229 124.308372 139.184628 0.23
NGC5585 144.610528 161.063752 0.18
